Day,Market Participant,Tape A Shares,Tape B Shares,Tape C Shares,Total Shares,Tape A Notional,Tape B Notional,Tape C Notional,Total Notional,Tape A Trade Count,Tape B Trade Count,Tape C Trade Count,Total Trade Count
2021-12-31,NYSE American (A),7984393,22732241,6361166,37077800,350471642.450900,531521289.764600,357321828.408000,1239314760.623500,101725,84809,77098,263632
2021-12-31,NASDAQ BX (B),10182184,9750900,14006942,33940026,524766627.039400,1049201989.357500,1073322152.959300,2647290769.356200,195847,74801,218209,488857
2021-12-31,NYSE National (C),24783809,20387445,20194515,65365769,667102416.621100,947827481.966000,662873141.933300,2277803040.520400,292281,93111,211828,597220
2021-12-31,FINRA / Nasdaq TRF Chicago (DB),5231084,1486177,9886146,16603407,189893478.894800,87650379.246100,502675387.905800,780219246.046700,23248,5865,46320,75433
2021-12-31,FINRA / NYSE TRF (DN),169052285,85441241,374873597,629367123,5804170714.257398,3050691923.155701,12779819234.005103,21634681871.418202,961968,223074,1345098,2530140
2021-12-31,FINRA / Nasdaq TRF Carteret (DQ),816834177,442355769,1246624978,2505814924,34271011588.809580,32008150940.072297,54890639663.531594,121169802192.413471,4559997,1472575,5174535,11207107
2021-12-31,MIAX Pearl (H),17260006,20097848,18122128,55479982,587081752.536600,1755832151.333600,1355075904.729500,3697989808.599700,213911,123370,182341,519622
2021-12-31,EDGA Equities (J),35602446,32507031,36202473,104311950,1642115323.387200,1979725284.520500,2062054528.955100,5683895136.862800,568603,229034,506796,1304433
2021-12-31,EDGX Equities (K),165927889,72459354,240323589,478710832,6327144402.126699,4806871530.772399,11069703715.250202,22203719648.149300,1355680,381237,1689197,3426114
2021-12-31,LTSE (L),118,100,210,428,40321.680000,2211.000000,3421.900000,45954.580000,6,1,2,9
2021-12-31,NYSE Chicago (M),7107249,3654342,7407185,18168776,507750475.614500,858489133.060400,2251365012.972200,3617604621.647100,23179,2019,28894,54092
2021-12-31,NYSE (N),702491193,36099973,46329373,784920539,38971231152.382001,2894741007.574001,2251064359.686100,44117036519.642102,2514927,153577,343081,3011585
2021-12-31,NYSE Arca (P),111482531,214619307,212675656,538777494,4842186726.048801,17358522800.687995,11661555901.838695,33862265428.575491,1177733,919919,1921458,4019110
2021-12-31,NASDAQ (Q),274173960,146754310,791064177,1211992447,13714468586.135199,13791562397.349304,52065805327.271424,79571836310.755927,3570628,1090911,5869307,10530846
2021-12-31,Members Exchange (U),97084209,69823768,121378096,288286073,2628439248.090800,4334601442.635801,3747392465.986200,10710433156.712801,864866,302997,896243,2064106
2021-12-31,Investors Exchange (V),68248386,16786178,66958246,151992810,3917901430.862000,1438630806.108600,4718055762.469900,10074587999.440500,947250,119668,900874,1967792
