Day,Market Participant,Tape A Shares,Tape B Shares,Tape C Shares,Total Shares,Tape A Notional,Tape B Notional,Tape C Notional,Total Notional,Tape A Trade Count,Tape B Trade Count,Tape C Trade Count,Total Trade Count
2024-12-31,NYSE American (A),2864841,35356241,6666792,44887874,111713343.929400,294940096.330100,188363465.458800,595016905.718300,35165,92023,43664,170852
2024-12-31,NASDAQ BX (B),8285084,9986008,16920215,35191307,466087359.275300,586825520.402100,692789904.436900,1745702784.114300,144119,94769,169826,408714
2024-12-31,NYSE National (C),10848742,10641077,15187803,36677622,305587757.394800,401945329.418100,425373878.589200,1132906965.402100,137624,61893,151282,350799
2024-12-31,FINRA / Nasdaq TRF Chicago (DB),4575714,3630720,17310827,25517261,170125684.325000,144034431.577400,969105534.851200,1283265650.753600,45803,19696,119151,184650
2024-12-31,FINRA / NYSE TRF (DN),67326625,87195312,329225105,483747042,2274488212.671600,2775270077.563900,5418737339.611602,10468495629.847102,502286,196377,755960,1454623
2024-12-31,FINRA / Nasdaq TRF Carteret (DQ),1375565247,1325328422,4591318390,7292212059,56267348840.837992,57126777993.808786,103116099473.658076,216510226308.304854,10876032,3616040,14793102,29285174
2024-12-31,MIAX Pearl (H),28455757,65049422,118287588,211792767,700976979.246900,2117763676.285100,1813128936.251600,4631869591.783600,209701,196219,408083,814003
2024-12-31,EDGA Equities (J),17092184,22109775,45743487,84945446,576981558.092300,1494049745.764700,925673605.747300,2996704909.604300,208565,134771,263299,606635
2024-12-31,EDGX Equities (K),115688509,154441088,713849763,983979360,3666399287.650200,6575626877.532805,14211275840.992705,24453302006.175710,900538,694123,2856122,4450783
2024-12-31,LTSE (L),8518245,2150561,12186415,22855221,268649091.795500,360299639.026600,521110140.010700,1150058870.832800,38877,5921,38028,82826
2024-12-31,NYSE Chicago (M),16486441,11971562,14159296,42617299,948332659.325400,1330565903.509600,2203043118.794500,4481941681.629500,33937,25271,46990,106198
2024-12-31,NYSE (N),886593802,48577242,71456719,1006627763,46409652605.872295,2635586781.381100,2544719520.030600,51589958907.283995,2704441,185826,553179,3443446
2024-12-31,NYSE Arca (P),122268354,401069980,967936358,1491274692,5011954852.239800,23839559901.561499,13586939450.808193,42438454204.609492,1477706,1682469,4407136,7567311
2024-12-31,NASDAQ (Q),256517481,164600133,1480147003,1901264617,13610472766.921898,12524405217.935103,68893841821.163075,95028719806.020076,4407347,1053123,8672722,14133192
2024-12-31,Members Exchange (U),35085218,74306413,231631760,341023391,1347397636.158000,2549613070.557299,3300924126.687101,7197934833.402400,423044,264367,804818,1492229
2024-12-31,Investors Exchange (V),107551979,49801403,122172274,279525656,5207395058.972900,2921228691.531600,5631566096.555399,13760189847.059899,1484022,264565,1402471,3151058
2024-12-31,NASDAQ PSX (X),4084006,5795582,11158755,21038343,222738527.897100,445174521.179000,371922752.008700,1039835801.084800,53779,32859,89879,176517
