quarter,year,tier,ats_name,total_trades,total_shares,mpid
1,2022,nms,UBS ATS,136406512.00,13284933436.00,UBSA
1,2022,nms,SIGMA X2,104027106.00,10178515187.00,SGMT
1,2022,nms,CROSSFINDER,50927155.00,7531785443.00,CROS
1,2022,nms,JPM-X,55749358.00,6423783608.00,JPMX
1,2022,nms,INTELLIGENT CROSS LLC,60212444.00,5523428040.00,INCR
1,2022,nms,LEVEL ATS,36468122.00,5194480422.00,EBXL
1,2022,nms,MS POOL (ATS-4),23383374.00,5029274782.00,MSPL
1,2022,nms,THE BARCLAYS ATS,25392463.00,3443666550.00,LATS
1,2022,nms,BIDS ATS,3232891.00,3362038053.00,BIDS
1,2022,nms,IBKR ATS,15262296.00,3134192508.00,IATS
1,2022,nms,VIRTU MATCHIT ATS,18775998.00,2863359187.00,KCGM
1,2022,nms,MS TRAJECTORY CROSS (ATS-1),10266619.00,2188509508.00,MSTX
1,2022,nms,INSTINCT X,8287638.00,1916808025.00,MLIX
1,2022,nms,POSIT,4499402.00,1435430232.00,ITGP
1,2022,nms,CROSSSTREAM,3295858.00,1359096449.00,XSTM
1,2022,nms,MS RPOOL (ATS-6),9208241.00,1213279997.00,MSRP
1,2022,nms,JPB-X,20735217.00,1175783290.00,JPBX
1,2022,nms,INSTINET BLOCKCROSS,89988.00,1057162530.00,BLKX
1,2022,nms,DEALERWEB,5101.00,1041492231.00,DLTA
1,2022,nms,LIQUIDNET H2O ATS,82638.00,861865790.00,LQNA
1,2022,nms,BNPP CORTEX ATS,7503721.00,858161252.00,BNPX
1,2022,nms,CBX,3910393.00,676572622.00,ICBX
1,2022,nms,CODA,2612071.00,498241755.00,CODA
1,2022,nms,LIQUIDNET NEGOTIATION ATS,12643.00,386048880.00,LQNT
1,2022,nms,LUMINEX ATS,8899.00,315839790.00,LMNX
1,2022,nms,CITIBLOC,4915.00,75574361.00,CBLC
1,2022,nms,PURESTREAM,3626321.00,56758405.00,PURE
1,2022,nms,BOATS,210374.00,14012281.00,BLUE
1,2022,nms,AQUA,1319.00,13350019.00,AQUA
1,2022,nms,XE,1241.00,9244489.00,PJCX
1,2022,nms,STIFEL X,3106.00,326287.00,STFX
1,2022,nms,CITI-ONE ATS,2.00,200.00,ONEC
1,2022,otc,OTC LINK ECN ATS,1423459.00,15431331933.00,OTCX
1,2022,otc,OTC LINK NQB IDQS,365469.00,7570093524.00,OTCN
1,2022,otc,GLOBAL OTC,2164837.00,770219689.00,ARCA
1,2022,otc,"TZERO ATS, LLC",10535.00,1430785.00,PROS
1,2022,otc,SECURITIZE MARKETS ATS,269.00,141015.00,SMKT
1,2022,otc,"VARIABLE INVESTMENT ADVISORS, INC.",6.00,132500.00,VIAT
1,2022,otc,NORTH CAPITAL PRIVATE SECURITIES CORPORATION,5482.00,73687.00,PPEX
1,2022,otc,"INX SECURITIES, LLC",18.00,3739.00,SWCL
1,2022,otc,STARTENGINE SECONDARY,30.00,1848.00,STEN
1,2022,otc,"FNC AG STOCK, LLC",20.00,528.00,FNCA
1,2022,otc,LEX,109.00,343.00,LEXA
2,2022,nms,UBS ATS,126527525.00,12573485286.00,UBSA
2,2022,nms,SIGMA X2,98805012.00,9893257519.00,SGMT
2,2022,nms,CROSSFINDER,47840481.00,7149775332.00,CROS
2,2022,nms,INTELLIGENT CROSS LLC,67689050.00,6275215589.00,INCR
2,2022,nms,JPM-X,55295974.00,6190377573.00,JPMX
2,2022,nms,LEVEL ATS,38804247.00,5105302949.00,EBXL
2,2022,nms,MS POOL (ATS-4),24855119.00,4939597190.00,MSPL
2,2022,nms,THE BARCLAYS ATS,23440848.00,3326874988.00,LATS
2,2022,nms,VIRTU MATCHIT ATS,20998781.00,3003797772.00,KCGM
2,2022,nms,BIDS ATS,3347297.00,2873016100.00,BIDS
2,2022,nms,IBKR ATS,13169802.00,2773711826.00,IATS
2,2022,nms,MS TRAJECTORY CROSS (ATS-1),10795917.00,2349243747.00,MSTX
2,2022,nms,POSIT,4821192.00,1457668218.00,ITGP
2,2022,nms,INSTINCT X,8763329.00,1429019370.00,MLIX
2,2022,nms,CROSSSTREAM,3451729.00,1355514818.00,XSTM
2,2022,nms,MS RPOOL (ATS-6),10935761.00,1348731526.00,MSRP
2,2022,nms,JPB-X,22130071.00,1343687520.00,JPBX
2,2022,nms,INSTINET BLOCKCROSS,78213.00,869698291.00,BLKX
2,2022,nms,DEALERWEB,4285.00,823006274.00,DLTA
2,2022,nms,LIQUIDNET H2O ATS,91257.00,799622351.00,LQNA
2,2022,nms,BNPP CORTEX ATS,6415497.00,738277682.00,BNPX
2,2022,nms,CBX,3593483.00,629787329.00,ICBX
2,2022,nms,CODA,2792121.00,508624452.00,CODA
2,2022,nms,LIQUIDNET NEGOTIATION ATS,11721.00,337600100.00,LQNT
2,2022,nms,LUMINEX ATS,7255.00,218167977.00,LMNX
2,2022,nms,PURESTREAM,4562409.00,80117243.00,PURE
2,2022,nms,BOATS,252679.00,13522519.00,BLUE
