venue,type,parent_co,normalized_venue
 Apex Clearing Corporation,Broker,Apex,
 Bank Of America - Merrill Lynch Instinct X Ats,ATS,BAML,
 Barclays ATS,ATS,,
" BATS BZX Exchange, LLC",EXCH,CBOE,
 Bats Trading Inc.,EXCH,CBOE,
 BATS Y Exchange,EXCH,CBOE,
 BIDS TRADING L.P.,ATS,,
 Bloomberg Tradebook LLC,Broker,,
" BofA Securities, Inc.",Broker,BAML,
 Boston Options Exchange,EXCH,BOX,
 BOX Exchange LLC,EXCH,BOX,
 Box Options Exchange,EXCH,BOX,
 C2 OPTIONS EXCHANGE INC.,EXCH,CBOE,
" C2 Options Exchange, Inc.",EXCH,CBOE,
 Canaccord Capital Corporation,Broker,Cannacord,
 Canaccord Genuity Securities,Broker,Cannacord,
 Cannacord Genuity Inc.,Broker,Cannacord,
 Casey Securities LLC,Broker,Cannacord,
" Cboe BYX Exchange, Inc.",EXCH,CBOE,
 CBOE BZX Exchange,EXCH,CBOE,
" Cboe BZX Exchange, Inc.",EXCH,CBOE,
 CBOE BZX OPTIONS EXCHANGE,EXCH,CBOE,
" Cboe C2 Exchange, Inc.",EXCH,CBOE,
" Cboe EDGA Exchange, Inc.",EXCH,CBOE,
 CBOE EDGA US Equities Exchange,EXCH,CBOE,
" Cboe EDGX Exchange, Inc.",EXCH,CBOE,
 CBOE EDGX OPTIONS EXCHANGE,EXCH,CBOE,
" Cboe Exchange, Inc.",EXCH,CBOE,
 CBOE Global Markets Inc.,EXCH,CBOE,
 Cheevers & Company Inc.,Broker,,
 Chicago Board Options Exchange,EXCH,CBOE,
 Citadel Execution Services,Broker,Citadel,
 Citadel Securities,Broker,Citadel,
 CITADEL SECURITIES LLC,Broker,Citadel,
" Citadel Securities, LLC",Broker,Citadel,
 Citigroup,Broker,Citi,
 Citigroup Global Markets Inc.,Broker,Citi,
 CITL,Broker,Citi,
" Clearpool Execution Services, LLC",Broker,,
 CODA MARKETS INC,ATS,,
" Cowen and Company, LLC",Broker,,
 Credit Suisse Crossfinder,ATS,Credit Suisse,
 Credit Suisse First Boston,Broker,Credit Suisse,
 Credit Suisse Securities LLC,Broker,Credit Suisse,
" D & D Securities, Inc.",Broker,,
 DASH Financial Option ATS,ATS,DASH,
 Dash Financial Technologies,Broker,DASH,
 Dash Financial Technologies LLC,Broker,DASH,
" Dash Financial Technologies, LLC",Broker,DASH,
 DASH/IMC,Broker,DASH,
 Dash/IMC,Broker,DASH,
 Dash/IMC Financial Markets,Broker,DASH,
 Deutche Bank ATS,ATS,,
 DOT,Broker,,
 EANJ,Broker,,
 EBX LLC,Broker,,
 Fidelity Crossstream ATS,ATS,,
 Fidessa,Broker,,
" Fox River Execution Tehnology, LLC",Broker,,
 G-JANESTREET_A,Broker,Jane Street,
 G-KNIGHTCAPTMK,Broker,Virtu,
" G1 Execution Services, LLC",Broker,G1X,
" G1X Execution Services, LLC",Broker,G1X,
 GELP,Broker,,
 Global Execution Brokers LP,Broker,Global Execution Brokers,
" Global Execution Brokers, LP",Broker,Global Execution Brokers,
" GLOBAL EXECUTION BROKERS, LP",Broker,Global Execution Brokers,
 Global Liquidity Partners,Broker,,
 Goldman Sachs & Co.,Broker,Goldman Sachs,
 Goldman Sachs & Co. LLC SIGMA X2,Broker,Goldman Sachs,
 GTS SECURITIES LLC,Broker,,
 HRT EXECUTION SERVICES LLC,Broker,Hudson River,
 Hudson River Trading (Hrt),Broker,Hudson River,
" IEX Services, LLC",EXCH,IEX,
" Instinet, LLC",Broker,,
 Intelligentcross,ATS,,
 International Securities Exchange,EXCH,NASDAQ,
" INTERNATIONAL SECURITIES EXCHANGE, LLC",EXCH,IEX,
 INVESTORS EXCHANGE,EXCH,IEX,
 Investors Exchange (IEXG),EXCH,IEX,
 Investors Exchange LLC,EXCH,IEX,
 ISE GEMINI EXCHANGE,EXCH,NASDAQ,
" ISE MERCURY, LLC",EXCH,NASDAQ,
" Israel A. Englander & Co., Inc.",Broker,,
 ITG Inc.,Broker,Virtu,
 J.P. Morgan Securities LLC,Broker,JPMorgan,
 JAK Securities,Broker,Jane Street,
 Jane Street Capital,Broker,Jane Street,
" Jane Street Capital, LLC",Broker,Jane Street,
" Jane Street Markets, LLC",Broker,Jane Street,
 JANEST,Broker,Jane Street,
 JLEQ,Broker,,
" JP Morgan Securities, LLC",Broker,JPMorgan,
 Kansas City Board Of Trade,Broker,,
 Knight Capital Markets,Broker,Virtu,
" Lampost Capital, L.C.",Broker,,
" Matrix Executions, LLC",Broker,Matrix,
" Matrix Executions, LLC / Simplex Trading",Broker,Matrix,
 MCAP LLC,Broker,,
 Members Exchange (MEMX),EXCH,MEMX,
 MEMX LLC,EXCH,MEMX,
 MIAMI INTERNATIONAL SECURITIES EXCHANGE,EXCH,MIAX,
" Miami International Securities Exchange, LLC",EXCH,MIAX,
" MIAX EMERALD, LLC",EXCH,MIAX,
" MIAX Emerald, LLC",EXCH,MIAX,
 MIAX Options Exchange,EXCH,MIAX,
 MIAX Pearl Equities,EXCH,MIAX,
" MIAX Pearl, LLC",EXCH,MIAX,
" MIAX PEARL, LLC",EXCH,MIAX,
 MIAX SAPPHIRE LLC,EXCH,MIAX,
" Morgan Stanley & Co., LLC",Broker,Morgan Stanley,
" Nasdaq BX, Inc.",EXCH,Nasdaq,
" Nasdaq Execution Services, LLC",EXCH,Nasdaq,
 NASDAQ GEMX LLC,EXCH,Nasdaq,
" Nasdaq GEMX, LLC",EXCH,Nasdaq,
" Nasdaq ISE, LLC",EXCH,Nasdaq,
" Nasdaq MRX, LLC",EXCH,Nasdaq,
 Nasdaq OMX,EXCH,Nasdaq,
 Nasdaq OMX BX,EXCH,Nasdaq,
 NASDAQ OMX BX OPTIONS,EXCH,Nasdaq,
 NASDAQ OMX PHLX,EXCH,Nasdaq,
 Nasdaq OMX PHLX,EXCH,Nasdaq,
 NASDAQ OPTIONS MARKET,EXCH,Nasdaq,
 Nasdaq Options Market,EXCH,Nasdaq,
 Nasdaq PHLX LLC,EXCH,Nasdaq,
 Nasdaq Stock Exchange (INET),EXCH,Nasdaq,
 NASDAQ-ALL MARKETS,EXCH,Nasdaq,
 National Stock Exchange,EXCH,NYSE,
 New York Stock Exchange,EXCH,NYSE,
 New York Stock Exchange LLC,EXCH,NYSE,
" NEW YORK STOCK EXCHANGE, INC.",EXCH,NYSE,
 NYSE American LLC,EXCH,NYSE,
 NYSE AMEX OPTIONS,EXCH,NYSE,
 NYSE Arca Options,EXCH,NYSE,
 NYSE ARCA OPTIONS,EXCH,NYSE,
" NYSE ARCA, Inc (ARCX)",EXCH,NYSE,
" NYSE Arca, Inc.",EXCH,NYSE,
" NYSE Chicago, Inc.",EXCH,NYSE,
" NYSE CHICAGO, INC.",EXCH,NYSE,
 NYSE MKT LLC,EXCH,NYSE,
" NYSE NATIONAL, INC",EXCH,NYSE,
 OneChronos Markets LLC,ATS,,
 PDQ,Broker,,
 Pershing,Broker,BNY,
 Pershing LLC,Broker,BNY,
 PHILADELPHIA OPTIONS EXCHANGE,EXCH,NASDAQ,
 PTR,Broker,,
 R-APEXINETSMRT,Broker,Apex,
 RBC Capital Markets Corporation,Broker,,
 SPED,Broker,,
 SRT SECURITIES LLC.,Broker,,
" StoneX Financial, Inc.",Broker,,
 Student Options LLC,Broker,,
 The NASDAQ Options Market LLC,EXCH,NASDAQ,
 The Nasdaq Stock Market,EXCH,NASDAQ,
 The Nasdaq Stock Market LLC,EXCH,NASDAQ,
" TJM Investments, LLC",Broker,,
" Two Sigma Securities, LLC",Broker,,
 TZER,Broker,,
" UBS Financial Services, Inc.",Broker,UBS,
" UBS Securities, LLC",Broker,UBS,
" UBS Securities, LLC ATS",ATS,UBS,
 Vandham Securities Corp.,Broker,,
 VCTY,Broker,,
 Virtu Agency,Broker,Virtu,
" Virtu Americas, LLC",Broker,Virtu,
 Virtu POSIT ATS,ATS,Virtu,
 Volant Execution,Broker,,
 Volant Executions LLC,Broker,,
 VRTU,Broker,Virtu,
 Wall Street Access,Broker,Wall Street Access,
 WALL STREET ACCESS,Broker,Wall Street Access,
 WATERSHED,Broker,,
 Wolverine Execution Services,Broker,Wolverine,
" Wolverine Execution Services, LLC",Broker,Wolverine,
 Wolverine Securities LLC,Broker,Wolverine,
 XFAS,Broker,,
